pair,mode,backend,mechanism_onset,final_instance_failure,clean_pq
plant1_green_pepper_pair_8_4,vertical,surface/G4_k256_mTrue_td4.0_tt0.75,VF1,VF1,0.8142970670873486
plant1_green_pepper_pair_8_4,vertical,surface/G4_k256_mTrue_td4.0_ttinf,VF1,VF1,0.8142970670873486
plant1_green_pepper_pair_8_4,vertical,surface/G4_k256_mTrue_tdinf_tt0.5,VF1,VF1,0.8648234978262964
plant1_green_pepper_pair_8_4,vertical,surface/G4_k256_mTrue_tdinf_tt0.75,VF1,VF1,0.8142970670873486
plant1_green_pepper_pair_8_4,vertical,surface/G4_k256_mTrue_tdinf_ttinf,VF1,VF1,0.8142970670873486
plant1_green_pepper_pair_8_4,vertical,surface/G5_k256_mFalse_ln0.0_lt4.0_td3.0_tt0.5,V1,V1,
plant1_green_pepper_pair_8_4,vertical,surface/G5_k256_mFalse_ln0.5_lt1.0_td3.0_tt0.5,V1,V1,0.4958287762816627
plant1_green_pepper_pair_8_4,vertical,surface/G5_k256_mFalse_ln1.0_lt2.0_td3.0_tt0.5,V1,V1,
plant2_rubber_tree_pair_3_12,horizontal,euclidean/k256_mFalse,HF1,HF1,0.8950070405381039
plant2_rubber_tree_pair_3_12,horizontal,euclidean/k256_mTrue,,,
plant2_rubber_tree_pair_3_12,horizontal,heat,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_td3.0_tt0.5,HF1,HF1,0.7201368963260061
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_td3.0_tt0.75,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_td3.0_tt1.0,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_td3.0_ttinf,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_td4.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_td4.0_tt0.75,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_td4.0_tt1.0,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_td4.0_ttinf,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_td6.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_tdinf_tt0.5,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_tdinf_tt0.75,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mFalse_tdinf_ttinf,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mTrue_td3.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mTrue_td3.0_tt0.75,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mTrue_td3.0_ttinf,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mTrue_td4.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mTrue_td4.0_tt0.75,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mTrue_td4.0_ttinf,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mTrue_tdinf_tt0.5,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mTrue_tdinf_tt0.75,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G4_k256_mTrue_tdinf_ttinf,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G5_k256_mFalse_ln0.0_lt4.0_td3.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G5_k256_mFalse_ln0.5_lt1.0_td3.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,horizontal,surface/G5_k256_mFalse_ln1.0_lt2.0_td3.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,vertical,euclidean/k256_mFalse,VF1,VF1,0.8950070405381039
plant2_rubber_tree_pair_3_12,vertical,euclidean/k256_mTrue,,,
plant2_rubber_tree_pair_3_12,vertical,heat,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_td3.0_tt0.5,VF1,VF1,0.7201368963260061
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_td3.0_tt0.75,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_td3.0_tt1.0,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_td3.0_ttinf,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_td4.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_td4.0_tt0.75,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_td4.0_tt1.0,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_td4.0_ttinf,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_td6.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_tdinf_tt0.5,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_tdinf_tt0.75,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mFalse_tdinf_ttinf,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mTrue_td3.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mTrue_td3.0_tt0.75,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mTrue_td3.0_ttinf,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mTrue_td4.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mTrue_td4.0_tt0.75,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mTrue_td4.0_ttinf,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mTrue_tdinf_tt0.5,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mTrue_tdinf_tt0.75,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G4_k256_mTrue_tdinf_ttinf,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G5_k256_mFalse_ln0.0_lt4.0_td3.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G5_k256_mFalse_ln0.5_lt1.0_td3.0_tt0.5,,,
plant2_rubber_tree_pair_3_12,vertical,surface/G5_k256_mFalse_ln1.0_lt2.0_td3.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,euclidean/k256_mFalse,HF1,HF1,0.7350275303239383
plant7_black_pearl_pepper_pair_4_8,horizontal,euclidean/k256_mTrue,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,heat,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_td3.0_tt0.5,HF1,HF1,0.03882974333580919
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_td3.0_tt0.75,HF1,HF1,0.7350275303239383
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_td3.0_tt1.0,H1,H1,0.7350275303239383
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_td3.0_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_td4.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_td4.0_tt0.75,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_td4.0_tt1.0,H1,H1,0.7350275303239383
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_td4.0_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_td6.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_tdinf_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_tdinf_tt0.75,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mFalse_tdinf_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mTrue_td3.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mTrue_td3.0_tt0.75,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mTrue_td3.0_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mTrue_td4.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mTrue_td4.0_tt0.75,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mTrue_td4.0_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mTrue_tdinf_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mTrue_tdinf_tt0.75,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G4_k256_mTrue_tdinf_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G5_k256_mFalse_ln0.0_lt4.0_td3.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G5_k256_mFalse_ln0.5_lt1.0_td3.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,horizontal,surface/G5_k256_mFalse_ln1.0_lt2.0_td3.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,vertical,euclidean/k256_mFalse,VF1,VF1,0.7350275303239383
plant7_black_pearl_pepper_pair_4_8,vertical,euclidean/k256_mTrue,,,
plant7_black_pearl_pepper_pair_4_8,vertical,heat,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_td3.0_tt0.5,VF1,VF1,0.03882974333580919
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_td3.0_tt0.75,VF1,VF1,0.7350275303239383
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_td3.0_tt1.0,V1,V1,0.7350275303239383
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_td3.0_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_td4.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_td4.0_tt0.75,,,0.7350275303239383
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_td4.0_tt1.0,V1,V1,0.7350275303239383
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_td4.0_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_td6.0_tt0.5,,,0.03882974333580919
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_tdinf_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_tdinf_tt0.75,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mFalse_tdinf_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mTrue_td3.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mTrue_td3.0_tt0.75,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mTrue_td3.0_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mTrue_td4.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mTrue_td4.0_tt0.75,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mTrue_td4.0_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mTrue_tdinf_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mTrue_tdinf_tt0.75,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G4_k256_mTrue_tdinf_ttinf,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G5_k256_mFalse_ln0.0_lt4.0_td3.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G5_k256_mFalse_ln0.5_lt1.0_td3.0_tt0.5,,,
plant7_black_pearl_pepper_pair_4_8,vertical,surface/G5_k256_mFalse_ln1.0_lt2.0_td3.0_tt0.5,,,
