plant,case_id,ablation,n_edges,n_within,n_cross,prevalence,median_within,q25_within,q75_within,median_cross,q25_cross,q75_cross,auroc,auprc,auprc_lift_over_prevalence,cliffs_delta,auroc_ci95_lo,auroc_ci95_hi
DouBanLv1,D1-p2-11,R0_dist,338990,338849,141,0.9996,-0.023516935416549613,-0.03557523553757938,-0.014718209427884644,-0.07361586649665133,-0.08480243199230277,-0.06746882493380622,0.9689120087361242,0.9999866425624793,1.0004027515567548,0.9159326241134752,0.9635712241874135,0.9733637348538415
DouBanLv1,D1-p2-11,R1_c_vis,338990,338849,141,0.9996,0.5,0.2857142686843872,0.6647058725357056,0.5136612057685852,0.3841463327407837,0.6578947305679321,0.4617974147734878,0.9996190597293475,1.000035015767057,0.3571063829787234,0.4262369073619666,0.49644819354984143
DouBanLv1,D1-p2-11,R2_c_app,338990,338849,141,0.9996,0.0,0.0,0.9995087385177612,0.9977102875709534,0.9938331246376038,0.9990909695625305,0.41136495263931555,0.999560249734965,0.9999761813009801,0.04972163120567376,0.3811207649157058,0.4419232450011364
DouBanLv1,D1-p2-11,R3_c_occ,338990,338849,141,0.9996,0.7116279006004333,0.6261682510375977,0.7906976938247681,0.5813953876495361,0.5069767236709595,0.6976743936538696,0.7372881253054641,0.9998459374681088,1.000261987912947,0.5966826241134752,0.6980457204425604,0.7704370781989568
DouBanLv1,D1-p2-11,R4_c_mv,338990,338849,141,0.9996,0.5480620265007019,0.3649281859397888,0.7391973733901978,0.6754117012023926,0.5769726634025574,0.7719265222549438,0.37373682986766904,0.9995136496857683,0.9999295618608247,0.0830354609929078,0.33650685903545524,0.40999855994560136
DouBanLv1,D1-p2-11,R5_surface,338990,338849,141,0.9996,0.6727693601096429,0.41728360204605996,0.855277958535523,0.6272179462676833,0.4908331111134753,0.8617007470718869,0.48509354016953804,0.9995527326119544,0.9999686610499852,-0.10400709219858156,0.4436954610988149,0.5296633242711575
DouBanLv1,D1-p2-11,R6_mv_and_surface,338990,338849,141,0.9996,0.4283151626586914,0.2772093117237091,0.605974018573761,0.5789156868248537,0.36631230505455903,0.7175574898719788,0.35431298097612846,0.9994115055864251,0.9998273752578354,-0.17915602836879432,0.31462486486114266,0.3963270452649791
DouBanLv1,D1-p2-3,R0_dist,539947,539663,284,0.9995,-0.021788156160997448,-0.03272478330526555,-0.013757472660148354,-0.08057169327479799,-0.0885138880454981,-0.06998567123522827,0.982970684391378,0.9999908421414012,1.0005170916696589,0.9386038732394366,0.9802605040252951,0.98528390243045
DouBanLv1,D1-p2-3,R1_c_vis,539947,539663,284,0.9995,0.529411792755127,0.3125,0.686170220375061,0.7111528515815735,0.623339056968689,0.8071510791778564,0.2380564613184655,0.9989714719882149,0.9994971850684976,-0.2407825704225352,0.21569508881429472,0.2590244944334457
DouBanLv1,D1-p2-3,R2_c_app,539947,539663,284,0.9995,0.0,0.0,0.9995241761207581,0.0,0.0,0.9998467564582825,0.47111424036069666,0.9993560848330153,0.9998820003174798,0.07724735915492957,0.43240095016717917,0.5037225240468928
DouBanLv1,D1-p2-3,R3_c_occ,539947,539663,284,0.9995,0.7302325963973999,0.644859790802002,0.8037382960319519,0.7441860437393188,0.6678348779678345,0.8262910842895508,0.453482664442152,0.999398552901779,0.9999244907352494,-0.026097711267605635,0.420910367122565,0.4857023401608771
DouBanLv1,D1-p2-3,R4_c_mv,539947,539663,284,0.9995,0.5487945079803467,0.380635142326355,0.7462967038154602,0.5982268452644348,0.4808194041252136,0.8265827298164368,0.3818943423560134,0.9991981908431512,0.999724023235217,0.032719190140845074,0.3457272807713097,0.41035986696105314
DouBanLv1,D1-p2-3,R5_surface,539947,539663,284,0.9995,0.6774153553463895,0.4238622551636104,0.8582516891215245,0.5253258290050871,0.2647032077757393,0.811697252208396,0.5965031437329186,0.9996021453939344,1.0001281903688388,0.1183556338028169,0.5585987419691991,0.6302869966606442
DouBanLv1,D1-p2-3,R6_mv_and_surface,539947,539663,284,0.9995,0.4392934144200419,0.28715115785598755,0.6063174605369568,0.45260433852672577,0.24923803245925863,0.5886382757920272,0.5184909606994433,0.9994540275073517,0.9999799945345743,0.10354137323943662,0.48438287846591166,0.5527829214615756
DouBanLv1,D1-p3-518,R0_dist,276972,276962,10,1.0,-0.021399536381192658,-0.031992135477950996,-0.013591706801058364,-0.06672568377639848,-0.06737433130050481,-0.06565252056926263,0.9769914284270044,0.9999991584027035,1.000035264408524,0.843,0.9733612102021216,0.9825310782706653
DouBanLv1,D1-p3-518,R1_c_vis,276972,276962,10,1.0,0.5436241626739502,0.3389124274253845,0.6945812702178955,0.5069047212600708,0.36102545261383057,0.5583415031433105,0.5410009315357341,0.9999740949239925,1.00001020002487,0.5064,0.41859946942179793,0.6638008688917613
DouBanLv1,D1-p3-518,R2_c_app,276972,276962,10,1.0,0.0,0.0,0.9995582103729248,0.9988957643508911,0.9988042712211609,0.999554455280304,0.2937173691697778,0.9999489764182574,0.9999850806122053,-0.2088,0.21739071605491006,0.36253319498703795
DouBanLv1,D1-p3-518,R3_c_occ,276972,276962,10,1.0,0.729468584060669,0.6465116143226624,0.8037382960319519,0.5930232405662537,0.5081395506858826,0.6034883856773376,0.8176829312324434,0.9999913683585757,1.0000274740831285,0.7037,0.6920623271423516,0.9193144456640261
DouBanLv1,D1-p3-518,R4_c_mv,276972,276962,10,1.0,0.552013635635376,0.3872412443161011,0.7513064742088318,0.680431604385376,0.5933098196983337,0.7032102346420288,0.34481950592500055,0.9999586431712667,0.9999947477142427,0.0503,0.27212128378622336,0.41671470273900385
DouBanLv1,D1-p3-518,R5_surface,276972,276962,10,1.0,0.6815942697595901,0.43222779254284915,0.8594332052734546,0.5353070554397031,0.14197422322979883,0.6431837209027504,0.6901881846607115,0.9999839091261852,1.0000200145814147,0.2675,0.5398876289888144,0.8350813649525927
DouBanLv1,D1-p3-518,R6_mv_and_surface,276972,276962,10,1.0,0.4454963463152066,0.2964262963815988,0.6112072318792343,0.5353070554397031,0.14197422322979883,0.5724816620349884,0.5493345657527026,0.999971375080959,1.0000074800836338,0.1292,0.37084908760046503,0.7537834432160369
DouBanLv1,D1-p66-2395,R0_dist,87136,87132,4,1.0,-0.022899146092480248,-0.030688913364083657,-0.016357636317379978,-0.0711493550791065,-0.07189239564739082,-0.0704053582111096,0.994766561079741,0.9999997591203708,1.0000456664682622,0.94775,0.9940477522609374,0.9954827876096038
DouBanLv1,D1-p66-2395,R1_c_vis,87136,87132,4,1.0,0.6034001111984253,0.48250216245651245,0.694915235042572,0.5644683837890625,0.5604375600814819,0.5684829354286194,0.5960769292567598,0.9999762385342801,1.0000221448024036,0.444875,0.5843784430519212,0.607630986606528
DouBanLv1,D1-p66-2395,R2_c_app,87136,87132,4,1.0,0.0,0.0,0.999693751335144,0.4998589754104614,0.0,0.9997642636299133,0.44635294725244457,0.9999410726993264,0.9999869773530793,-0.051375,0.1872939907267135,0.7035286978377634
DouBanLv1,D1-p66-2395,R3_c_occ,87136,87132,4,1.0,0.7534883618354797,0.6883721351623535,0.8093023300170898,0.5817757248878479,0.5794392824172974,0.5841121673583984,0.9332822613965018,0.9999968244744939,1.0000427316876634,0.87575,0.9309040450121655,0.9356709862622228
DouBanLv1,D1-p66-2395,R4_c_mv,87136,87132,4,1.0,0.5271096229553223,0.4297846853733063,0.7632308006286621,0.5503056049346924,0.40115392208099365,0.6994369029998779,0.5780166873249782,0.9999706749752422,1.0000165809879573,0.327625,0.3413668342285268,0.8155860504751412
DouBanLv1,D1-p66-2395,R5_surface,87136,87132,4,1.0,0.8058185658296542,0.5503612589029884,0.9356301232605732,0.16259182417446855,0.15955653639019513,0.16560458516986976,0.9495105127851995,0.9999976216824599,1.0000435289322271,0.8535,0.9477000413166231,0.951413372813662
DouBanLv1,D1-p66-2395,R6_mv_and_surface,87136,87132,4,1.0,0.4836333433900452,0.3744537755846977,0.6714807745085697,0.16259182417446855,0.15955653639019513,0.16560458516986976,0.946641302850847,0.9999974827340915,1.00004338997748,0.85175,0.9445395348436855,0.948851526993527
DouBanLv1,D1-p3-66,R0_dist,331038,331034,4,1.0,-0.0218248624980612,-0.03158761593657438,-0.014231546070828233,-0.07900074364160034,-0.08181730797024936,-0.07624345373461668,0.9913702217899067,0.9999998952130935,1.0000119785627821,0.929125,0.9878588566431242,0.9941022108000991
DouBanLv1,D1-p3-66,R1_c_vis,331038,331034,4,1.0,0.567307710647583,0.3760683834552765,0.698924720287323,0.6674429178237915,0.6533293724060059,0.687487006187439,0.3016854008953763,0.9999849714541308,0.9999970546234904,-0.0305,0.20900538162243154,0.3833439314390667
DouBanLv1,D1-p3-66,R2_c_app,331038,331034,4,1.0,0.0,0.0,0.9995642900466919,0.0,0.0,0.24991966784000397,0.598472135792698,0.9999929717303333,1.000005054996363,0.350625,0.3450226506189697,0.7256945661170756
DouBanLv1,D1-p3-66,R3_c_occ,331038,331034,4,1.0,0.739534854888916,0.65887850522995,0.8093023300170898,0.7069767117500305,0.6837209463119507,0.7279069423675537,0.6074776306965448,0.9999936561328094,1.0000057394071091,0.243625,0.47163363506467615,0.7374689892125884
DouBanLv1,D1-p3-66,R4_c_mv,331038,331034,4,1.0,0.5428671836853027,0.4006929099559784,0.7549450993537903,0.4790702164173126,0.4680126905441284,0.5667781233787537,0.5095983343100708,0.9999896713984986,1.0000017546246494,0.2790625,0.24944106949739303,0.6660899258082251
DouBanLv1,D1-p3-66,R5_surface,331038,331034,4,1.0,0.6937590153140336,0.4412654195210512,0.8703258643776135,0.7602072710067682,0.6894700300528418,0.8509538436483959,0.35990789465734635,0.9999805138980916,0.9999925970135891,-0.42175,0.12956992333113818,0.5372629019979821
DouBanLv1,D1-p3-66,R6_mv_and_surface,331038,331034,4,1.0,0.4539796710014343,0.3080079575451857,0.6086794137954712,0.4790702164173126,0.4680127054452896,0.5667781382799149,0.36926418434360214,0.9999838866309446,0.999995969787196,-0.2115,0.14745362258861627,0.5068992346707589
HongZhang,HZ-p2-1,R0_dist,1190041,1190007,34,1.0,-0.029640394481243365,-0.04394260059926265,-0.018730228988282128,-0.10309977416442398,-0.10701330529531601,-0.0938919247272525,0.9866893516543328,0.9999996137239477,1.0000281849734165,0.9630882352941177,0.9812798098221766,0.9909635028592763
HongZhang,HZ-p2-1,R1_c_vis,1190041,1190007,34,1.0,0.6323529481887817,0.4406779706478119,0.7407407164573669,0.7302781343460083,0.6556122303009033,0.8005602359771729,0.2826451737629423,0.9999558065219021,0.9999843765197439,-0.36478676470588234,0.21714221904725325,0.34041650502649046
HongZhang,HZ-p2-1,R2_c_app,1190041,1190007,34,1.0,0.9977049231529236,0.0,0.9996945261955261,0.9988837838172913,0.9966071844100952,0.9992688298225403,0.46953158061007944,0.9999744784237907,1.0000030489551124,-0.028426470588235293,0.3970987936353711,0.5420200123390277
HongZhang,HZ-p2-1,R3_c_occ,1190041,1190007,34,1.0,0.7793427109718323,0.6807512044906616,0.8584905862808228,0.7529453635215759,0.6871422529220581,0.8096266388893127,0.5513748831630699,0.9999807651275174,1.000009335838458,-0.05126470588235294,0.47677719295669985,0.6162304794771598
